frame,num_gt,num_hyp,num_matched,Pd_frame,RMSE_px,RMSE_m,IDSW_frame
0,4,0,0,0.0,,,0
1,4,4,2,0.5,1.860749686078009,0.738564416462579,0
2,4,8,2,0.5,1.3644872413140774,0.541589086749155,2
3,4,11,2,0.5,5.332192326528264,2.1164413158705147,1
4,4,12,1,0.25,3.3733022212982178,1.3389232336114398,1
5,4,12,1,0.25,3.000288963317871,1.1908676830587308,0
6,4,12,1,0.25,8.42557430267334,3.3442592600040633,0
7,4,12,0,0.0,,,0
8,4,12,0,0.0,,,0
9,4,12,1,0.25,9.996013641357422,3.9675943718910376,1
10,4,12,1,0.25,9.645587921142578,3.8285042140367236,0
11,4,12,0,0.0,,,0
12,4,12,0,0.0,,,0
13,4,12,2,0.5,5.125181322441741,2.034274991953647,0
14,4,12,3,0.75,6.891591838610325,2.7353945255848457,3
15,4,12,3,0.75,4.42872519660939,1.7578392542422856,3
16,4,12,1,0.25,2.8383660316467285,1.126597611465343,0
17,4,12,1,0.25,2.425466775894165,0.9627106038982541,1
18,4,12,1,0.25,2.3134355545043945,0.9182434333430755,0
19,4,12,1,0.25,4.285521030426025,1.700998991296895,0
20,4,12,1,0.25,5.844285488128662,2.3197001367111914,0
21,4,12,1,0.25,7.185410499572754,2.8520163417824467,0
22,3,12,1,0.3333333333333333,8.189983367919922,3.2507490568037727,0
23,3,12,1,0.3333333333333333,2.914283514022827,1.1567306011360778,0
24,2,12,0,0.0,,,0
25,1,12,0,0.0,,,0
26,1,12,0,0.0,,,0
27,1,12,0,0.0,,,0
28,1,12,0,0.0,,,0
29,1,12,0,0.0,,,0
