# frame tid x y w h state(det|pred)
1 0 5.000 51.000 3.000 3.000 det
1 1 11.000 71.000 1.000 1.000 det
1 2 9.000 82.000 1.000 1.000 det
1 3 122.000 63.000 1.000 1.000 det
2 0 5.000 51.000 3.000 3.000 det
2 1 11.000 71.000 1.000 1.000 det
2 2 9.000 82.000 1.000 1.000 det
2 3 122.000 63.000 1.000 1.000 det
2 4 116.000 62.000 1.000 1.000 det
2 5 12.000 52.000 1.000 1.000 det
2 6 16.000 70.000 3.000 3.000 det
2 7 14.000 83.000 3.000 2.000 det
3 0 5.784 50.916 2.300 2.300 det
3 1 11.000 71.000 1.000 1.000 det
3 2 9.000 82.000 1.000 1.000 det
3 3 122.000 63.000 1.000 1.000 pred
3 4 116.000 62.000 1.000 1.000 pred
3 5 12.000 52.000 1.000 1.000 det
3 6 15.878 69.878 2.300 2.300 det
3 7 14.700 82.878 1.600 1.300 det
3 8 16.000 51.000 1.000 1.000 det
3 9 23.000 70.000 1.000 1.000 det
3 10 19.000 82.000 2.000 2.000 det
4 0 6.011 50.899 2.090 2.090 det
4 1 11.000 71.000 1.000 1.000 det
4 2 9.000 82.000 1.000 1.000 det
4 5 12.000 52.000 1.000 1.000 det
4 6 15.928 69.928 2.090 2.090 det
4 7 14.910 82.928 1.180 1.090 det
4 8 16.000 51.000 1.000 1.000 det
4 9 23.000 70.000 1.000 1.000 det
4 10 19.000 82.000 2.000 2.000 det
4 3 122.000 63.000 1.000 1.000 pred
4 11 21.000 50.000 1.000 1.000 det
4 12 29.000 70.000 2.000 2.000 det
5 0 6.068 50.905 2.027 2.027 det
5 1 11.000 71.000 1.000 1.000 det
5 2 9.000 82.000 1.000 1.000 det
5 5 12.000 52.000 1.000 1.000 det
5 6 15.960 69.960 2.027 2.027 det
5 7 14.973 82.960 1.054 1.027 det
5 8 16.000 51.000 1.000 1.000 det
5 9 23.000 70.000 1.000 1.000 det
5 10 19.000 82.000 2.000 2.000 det
5 11 21.000 50.000 1.000 1.000 det
5 12 29.000 70.000 2.000 2.000 det
5 3 122.000 63.000 1.000 1.000 pred
6 0 6.074 50.918 2.008 2.008 det
6 1 11.000 71.000 1.000 1.000 det
6 2 9.000 82.000 1.000 1.000 det
6 5 12.000 52.000 1.000 1.000 det
6 6 15.975 69.975 2.008 2.008 det
6 7 14.992 82.975 1.016 1.008 det
6 8 16.000 51.000 1.000 1.000 det
6 9 23.000 70.000 1.000 1.000 det
6 10 19.000 82.000 2.000 2.000 det
6 11 21.000 50.000 1.000 1.000 det
6 12 29.000 70.000 2.000 2.000 det
6 3 122.000 63.000 1.000 1.000 pred
7 0 12.208 50.980 1.302 1.302 det
7 1 14.005 70.345 1.700 1.700 det
7 2 15.055 81.955 1.700 1.700 det
7 5 12.000 52.000 1.000 1.000 det
7 6 20.522 70.010 1.302 1.302 det
7 7 14.998 82.983 1.005 1.002 det
7 8 22.323 51.001 1.000 1.700 det
7 9 32.133 70.000 1.000 1.000 det
7 10 23.917 82.701 1.300 1.300 det
7 11 21.000 50.000 1.000 1.000 det
7 12 29.000 70.000 2.000 2.000 det
7 3 111.089 61.016 1.000 1.000 det
8 0 18.239 50.353 1.091 1.091 det
8 1 19.824 70.137 1.210 1.210 det
8 2 18.245 82.007 1.910 1.910 det
8 5 14.440 51.390 1.000 1.000 det
8 6 26.243 69.922 1.791 1.791 det
8 7 21.709 82.988 1.001 1.001 det
8 8 24.987 51.044 1.000 1.910 det
8 9 35.982 70.000 1.000 1.000 det
8 10 29.141 82.927 1.790 1.790 det
8 11 27.323 50.000 1.000 1.000 det
8 12 38.132 70.701 1.300 1.300 det
8 3 110.278 60.869 1.000 1.000 det
9 0 23.550 50.535 1.027 1.727 det
9 1 26.203 69.921 1.763 1.763 det
9 2 23.871 82.689 1.273 1.273 det
9 5 18.655 50.484 1.000 1.000 det
9 6 33.279 69.997 1.237 1.237 det
9 7 28.068 82.938 1.700 1.700 det
9 8 31.518 50.506 1.000 1.273 det
9 9 44.805 70.610 1.000 1.000 det
9 10 33.903 82.454 2.637 1.937 det
9 11 29.987 50.000 1.000 1.000 det
9 12 41.937 70.954 1.090 1.090 det
9 3 108.490 60.544 1.000 1.000 pred
10 0 28.939 50.238 1.008 1.218 det
10 1 33.567 69.960 1.229 1.229 det
10 2 29.399 82.910 1.782 1.782 det
10 5 23.158 50.548 1.000 1.700 det
10 6 40.136 70.560 1.071 1.071 det
10 7 33.575 82.411 2.610 1.910 det
10 8 37.556 50.144 1.000 1.082 det
10 9 50.714 76.844 1.000 1.000 det
10 10 40.357 82.845 1.491 1.281 det
10 11 33.468 50.000 1.000 1.000 det
10 12 47.075 71.044 1.027 1.027 det
10 3 106.702 60.218 1.000 1.000 pred
11 0 33.717 50.018 1.002 1.065 det
11 1 40.537 70.510 1.069 1.069 det
11 2 34.969 82.550 1.935 1.235 det
11 5 28.285 50.205 1.000 1.210 det
11 6 46.818 70.859 1.021 1.021 det
11 7 40.418 82.777 1.483 1.273 det
11 8 42.659 49.367 1.000 1.025 det
11 9 57.894 80.169 1.000 1.000 det
11 10 46.141 82.388 1.147 1.084 det
11 11 37.937 50.000 1.000 1.000 det
11 12 51.095 76.987 1.008 1.008 det
11 3 104.913 59.893 1.000 1.000 pred
12 0 38.676 49.907 1.001 1.020 det
12 1 47.203 70.816 1.021 1.021 det
12 2 41.056 82.821 1.280 1.070 det
12 5 33.077 49.974 1.000 1.063 det
12 6 57.378 72.166 1.006 1.006 det
12 7 46.373 82.328 1.145 1.082 det
12 8 47.764 49.549 1.000 1.007 det
12 9 64.009 82.877 1.000 1.000 det
12 10 51.012 81.526 1.044 1.025 det
12 11 42.319 49.416 1.000 1.000 det
12 12 57.421 80.165 1.002 1.002 det
12 3 103.125 59.568 1.000 1.000 pred
13 0 43.140 49.294 1.000 1.006 det
13 1 57.684 72.134 1.006 1.006 det
13 2 46.624 82.372 1.084 1.021 det
13 5 38.161 49.867 1.000 1.019 det
13 6 65.970 72.290 1.002 1.002 det
13 7 51.278 81.480 1.043 1.025 det
13 8 51.692 49.127 1.000 1.002 det
13 9 69.476 84.617 1.000 1.000 det
13 10 57.684 81.060 1.013 1.008 det
13 11 47.184 49.676 1.000 1.000 det
13 12 63.264 82.810 1.001 1.001 det
13 3 101.337 59.243 1.000 1.000 pred
14 0 47.888 49.559 1.000 1.002 det
14 1 66.187 72.269 1.002 1.002 det
14 2 51.334 81.529 1.025 1.006 det
14 5 42.774 49.263 1.000 1.006 det
14 6 73.252 72.287 1.001 1.001 det
14 7 57.915 81.027 1.013 1.007 det
14 8 57.272 49.506 1.000 1.001 det
14 9 75.163 86.392 1.000 1.000 det
14 10 61.891 76.214 1.004 1.002 det
14 11 51.119 49.266 1.000 1.000 det
14 12 68.754 84.537 1.000 1.000 det
14 3 92.382 69.439 1.000 1.000 det
15 0 51.644 49.173 1.000 1.001 det
15 1 73.391 72.275 1.001 1.001 det
15 2 57.882 81.074 1.008 1.002 det
15 5 47.654 49.538 1.000 1.002 det
15 6 79.743 71.653 1.000 1.000 det
15 7 66.701 82.569 1.004 1.002 det
15 8 61.492 50.337 1.000 1.000 det
15 9 80.421 87.645 1.000 1.000 det
15 10 66.970 72.995 1.001 1.001 det
15 11 56.809 49.623 1.000 1.000 det
15 12 74.586 86.321 1.000 1.000 det
15 3 91.038 70.327 1.000 1.000 det
16 0 57.160 49.558 1.000 1.000 det
16 1 79.824 71.646 1.000 1.000 det
16 2 66.639 82.608 1.002 1.001 det
16 5 51.509 49.160 1.000 1.001 det
16 6 86.390 71.264 1.000 1.000 det
16 7 74.302 84.644 1.001 1.001 det
16 8 66.073 51.390 1.000 1.000 det
16 9 86.031 88.051 1.000 1.000 det
16 10 72.588 71.456 1.000 1.000 det
16 11 61.162 50.424 1.000 1.000 det
16 12 80.013 87.591 1.000 1.000 det
16 3 90.540 70.675 1.000 1.000 det
17 0 61.374 50.382 1.000 1.000 det
17 1 86.431 71.261 1.000 1.000 det
17 2 74.239 84.672 1.001 1.000 det
17 5 57.091 49.551 1.000 1.000 det
17 6 96.067 69.892 1.000 1.000 det
17 7 80.525 86.349 1.000 1.000 det
17 8 70.303 53.106 1.000 1.000 det
17 9 91.281 87.445 1.000 1.000 det
17 10 78.504 70.331 1.000 1.000 det
17 11 65.860 51.448 1.000 1.000 det
17 12 85.770 88.014 1.000 1.000 det
17 3 90.612 70.690 1.000 1.000 det
18 0 65.974 51.424 1.000 1.000 det
18 1 96.083 69.891 1.000 1.000 det
18 2 80.474 86.368 1.000 1.000 det
18 5 61.347 50.379 1.000 1.000 det
18 6 103.974 67.989 1.000 1.000 det
18 7 86.521 87.188 1.000 1.000 det
18 8 74.923 54.574 1.000 1.000 det
18 9 96.913 86.340 1.000 1.000 det
18 10 85.141 69.983 1.000 1.000 det
18 11 70.179 53.141 1.000 1.000 det
18 12 91.131 87.423 1.000 1.000 det
18 3 90.920 70.558 1.000 1.000 det
19 0 70.231 53.129 1.000 1.000 det
19 1 103.978 67.989 1.000 1.000 det
19 2 86.485 87.199 1.000 1.000 det
19 5 65.969 51.423 1.000 1.000 det
19 6 111.361 67.004 1.000 1.000 det
19 7 91.842 86.926 1.000 1.000 det
19 8 79.777 55.271 1.000 1.000 det
19 9 102.195 85.045 1.000 1.000 det
19 10 95.048 68.868 1.000 1.000 det
19 11 74.860 54.593 1.000 1.000 det
19 12 96.838 86.328 1.000 1.000 det
19 3 91.255 70.396 1.000 1.000 det
20 0 74.876 54.588 1.000 1.000 det
20 1 111.358 67.004 1.000 1.000 det
20 2 91.818 86.932 1.000 1.000 det
20 5 70.237 53.129 1.000 1.000 det
20 6 117.876 67.168 1.000 1.000 det
20 7 97.399 86.063 1.000 1.000 det
20 8 84.178 56.093 1.000 1.000 det
20 9 107.857 83.726 1.000 1.000 det
20 10 103.242 67.265 1.000 1.000 det
20 11 79.752 55.280 1.000 1.000 det
20 12 102.165 85.040 1.000 1.000 det
20 3 95.034 69.671 1.000 1.000 det
21 0 79.749 55.279 1.000 1.000 det
21 1 117.871 67.169 1.000 1.000 det
21 2 97.385 86.065 1.000 1.000 det
21 5 74.884 54.589 1.000 1.000 det
21 6 123.929 67.973 1.000 1.000 det
