frame,num_gt,num_hyp,num_matched,Pd_frame,RMSE_px,RMSE_m,IDSW_frame
0,4,0,0,0.0,,,0
1,4,4,2,0.5,1.860749686078009,0.738564416462579,0
2,4,8,2,0.5,1.3644872413140774,0.541589086749155,2
3,4,11,2,0.5,5.332192326528264,2.1164413158705147,1
4,4,12,1,0.25,3.3733022212982178,1.3389232336114398,1
5,4,12,1,0.25,3.000288963317871,1.1908676830587308,0
6,4,12,1,0.25,8.42557430267334,3.3442592600040633,0
7,4,12,0,0.0,,,0
8,4,12,0,0.0,,,0
9,4,12,1,0.25,9.996013641357422,3.9675943718910376,1
10,4,12,1,0.25,9.645587921142578,3.8285042140367236,0
11,4,12,0,0.0,,,0
12,4,12,0,0.0,,,0
13,4,12,2,0.5,5.285559530419539,2.0979319354289934,0
14,4,12,3,0.75,6.825260601343808,2.7090664859180786,2
15,4,12,3,0.75,4.444070669095148,1.7639301433159658,3
16,4,12,1,0.25,2.8383660316467285,1.126597611465343,0
17,4,12,1,0.25,2.3104138374328613,0.9170440604653856,1
18,4,12,1,0.25,2.310023307800293,0.9168890523563706,0
19,4,12,1,0.25,4.295031547546387,1.7047738835243726,0
20,4,12,1,0.25,5.846281051635742,2.3204922111144,0
21,4,12,1,0.25,7.183341026306152,2.8511949312902303,0
22,3,12,1,0.3333333333333333,8.186729431152344,3.2494575118270714,0
23,3,12,1,0.3333333333333333,2.9139904975891113,1.156614297738044,0
24,2,12,0,0.0,,,0
25,1,12,0,0.0,,,0
26,1,12,0,0.0,,,0
27,1,12,0,0.0,,,0
28,1,12,0,0.0,,,0
29,1,12,0,0.0,,,0
