# frame tid x y w h state(det|pred)
1 0 5.000 51.000 3.000 3.000 det
1 1 11.000 71.000 1.000 1.000 det
1 2 9.000 82.000 1.000 1.000 det
1 3 122.000 63.000 1.000 1.000 det
2 0 5.000 51.000 3.000 3.000 det
2 1 11.000 71.000 1.000 1.000 det
2 2 9.000 82.000 1.000 1.000 det
2 3 122.000 63.000 1.000 1.000 det
2 4 116.000 62.000 1.000 1.000 det
2 5 12.000 52.000 1.000 1.000 det
2 6 16.000 70.000 3.000 3.000 det
2 7 14.000 83.000 3.000 2.000 det
3 0 5.784 50.916 2.300 2.300 det
3 1 11.000 71.000 1.000 1.000 det
3 2 9.000 82.000 1.000 1.000 det
3 3 122.000 63.000 1.000 1.000 pred
3 4 116.000 62.000 1.000 1.000 pred
3 5 12.000 52.000 1.000 1.000 det
3 6 15.878 69.878 2.300 2.300 det
3 7 14.700 82.878 1.600 1.300 det
3 44 16.000 51.000 1.000 1.000 det
3 45 23.000 70.000 1.000 1.000 det
3 46 19.000 82.000 2.000 2.000 det
4 0 6.011 50.899 2.090 2.090 det
4 1 11.000 71.000 1.000 1.000 det
4 2 9.000 82.000 1.000 1.000 det
4 5 12.000 52.000 1.000 1.000 det
4 6 15.928 69.928 2.090 2.090 det
4 7 14.910 82.928 1.180 1.090 det
4 44 16.000 51.000 1.000 1.000 det
4 45 23.000 70.000 1.000 1.000 det
4 46 19.000 82.000 2.000 2.000 det
4 3 122.000 63.000 1.000 1.000 pred
4 398 21.000 50.000 1.000 1.000 det
4 399 29.000 70.000 2.000 2.000 det
5 0 6.068 50.905 2.027 2.027 det
5 1 11.000 71.000 1.000 1.000 det
5 2 9.000 82.000 1.000 1.000 det
5 5 12.000 52.000 1.000 1.000 det
5 6 15.960 69.960 2.027 2.027 det
5 7 14.973 82.960 1.054 1.027 det
5 44 16.000 51.000 1.000 1.000 det
5 45 23.000 70.000 1.000 1.000 det
5 46 19.000 82.000 2.000 2.000 det
5 398 21.000 50.000 1.000 1.000 det
5 399 29.000 70.000 2.000 2.000 det
5 3 122.000 63.000 1.000 1.000 pred
6 0 6.074 50.918 2.008 2.008 det
6 1 11.000 71.000 1.000 1.000 det
6 2 9.000 82.000 1.000 1.000 det
6 5 12.000 52.000 1.000 1.000 det
6 6 15.975 69.975 2.008 2.008 det
6 7 14.992 82.975 1.016 1.008 det
6 44 16.000 51.000 1.000 1.000 det
6 45 23.000 70.000 1.000 1.000 det
6 46 19.000 82.000 2.000 2.000 det
6 398 21.000 50.000 1.000 1.000 det
6 399 29.000 70.000 2.000 2.000 det
6 3 122.000 63.000 1.000 1.000 pred
7 0 12.208 50.980 1.302 1.302 det
7 2 12.660 82.610 1.000 1.000 det
7 5 12.000 52.000 1.000 1.000 det
7 6 15.983 69.983 2.002 2.002 det
7 7 22.088 82.983 1.005 1.002 det
7 1 11.000 71.000 1.000 1.000 pred
7 44 22.323 51.001 1.000 1.700 det
7 45 23.000 70.000 1.000 1.000 det
7 46 19.000 82.000 2.000 2.000 det
7 398 21.000 50.000 1.000 1.000 det
7 399 29.000 70.000 2.000 2.000 det
7 3 111.089 61.016 1.000 1.000 det
8 0 18.239 50.353 1.091 1.091 det
8 2 21.055 82.924 1.000 1.000 det
8 5 14.440 51.390 1.000 1.000 det
8 6 22.628 69.967 1.091 1.091 det
8 7 28.472 82.943 1.701 1.701 det
8 1 15.124 70.243 1.700 1.700 pred
8 44 24.987 51.044 1.000 1.910 det
8 45 35.982 70.000 1.000 1.000 det
8 46 19.000 82.000 2.000 2.000 det
8 398 27.323 50.000 1.000 1.000 det
8 399 29.000 70.000 2.000 2.000 det
8 3 110.278 60.869 1.000 1.000 det
9 0 21.919 50.862 1.027 1.727 det
9 1 31.405 69.932 1.000 1.000 det
9 2 25.419 83.068 1.000 1.000 det
9 5 20.315 50.152 1.000 1.000 det
9 6 28.002 69.992 2.000 2.000 det
9 7 26.499 82.555 1.973 1.973 det
9 44 31.518 50.506 1.000 1.273 det
9 45 44.805 70.610 1.000 1.000 det
9 46 33.903 82.454 2.637 1.937 det
9 398 29.987 50.000 1.000 1.000 det
9 399 41.937 70.954 1.090 1.090 det
9 3 108.490 60.544 1.000 1.000 pred
10 0 23.963 50.534 1.008 1.708 det
10 1 39.634 70.465 1.000 1.000 det
10 2 30.199 83.056 1.700 1.700 det
10 5 28.171 50.249 1.000 1.210 det
10 6 34.023 70.053 1.300 1.300 det
10 7 32.768 82.263 2.692 1.992 det
10 44 37.556 50.144 1.000 1.082 det
10 45 50.714 76.844 1.000 1.000 det
10 46 40.357 82.845 1.491 1.281 det
10 398 33.468 50.000 1.000 1.000 det
10 399 47.075 71.044 1.027 1.027 det
10 3 106.702 60.218 1.000 1.000 pred
11 0 28.892 50.252 1.002 1.212 det
11 1 47.009 70.788 1.000 1.000 det
11 2 40.211 82.848 1.420 1.210 det
11 5 33.128 49.970 1.000 1.063 det
11 6 40.323 70.581 1.090 1.090 det
11 7 35.162 82.477 1.998 1.298 det
11 44 42.659 49.367 1.000 1.025 det
11 45 57.894 80.169 1.000 1.000 det
11 46 46.141 82.388 1.147 1.084 det
11 398 37.937 50.000 1.000 1.000 det
11 399 51.095 76.987 1.008 1.008 det
11 3 104.913 59.893 1.000 1.000 pred
12 0 38.664 49.910 1.001 1.020 det
12 1 57.829 72.123 1.000 1.000 det
12 2 41.164 82.816 1.273 1.063 det
12 5 33.091 49.971 1.000 1.063 det
12 6 46.739 70.859 1.027 1.027 det
12 7 46.262 82.333 1.152 1.089 det
12 44 42.564 49.292 1.000 1.007 det
12 45 64.009 82.877 1.000 1.000 det
12 46 51.012 81.526 1.044 1.025 det
12 398 47.563 49.674 1.000 1.000 det
12 399 57.421 80.165 1.002 1.002 det
12 3 103.125 59.568 1.000 1.000 pred
13 0 43.140 49.294 1.000 1.006 det
13 1 66.449 72.268 1.000 1.000 det
13 2 46.610 82.350 1.082 1.019 det
13 5 38.161 49.867 1.000 1.019 det
13 6 57.200 72.156 1.008 1.008 det
13 7 51.291 81.501 1.046 1.027 det
13 44 47.436 49.539 1.000 1.002 det
13 45 69.476 84.617 1.000 1.000 det
13 46 57.684 81.060 1.013 1.008 det
13 398 51.462 49.264 1.000 1.000 det
13 399 63.264 82.810 1.001 1.001 det
13 3 101.337 59.243 1.000 1.000 pred
14 0 47.888 49.559 1.000 1.002 det
14 1 66.034 72.281 1.002 1.002 det
14 2 51.272 81.505 1.025 1.006 det
14 5 42.774 49.263 1.000 1.006 det
14 6 73.404 72.275 1.001 1.001 det
14 7 57.977 81.052 1.014 1.008 det
14 44 57.272 49.506 1.000 1.001 det
14 45 75.163 86.392 1.000 1.000 det
14 46 61.891 76.214 1.004 1.002 det
14 398 51.119 49.266 1.000 1.000 det
14 399 68.754 84.537 1.000 1.000 det
14 3 92.382 69.439 1.000 1.000 det
15 0 51.644 49.173 1.000 1.001 det
15 1 80.038 71.652 1.000 1.000 det
15 2 57.811 81.054 1.007 1.002 det
15 5 47.654 49.538 1.000 1.002 det
15 6 73.098 72.276 1.001 1.001 det
15 7 66.772 82.590 1.004 1.002 det
15 44 56.960 49.536 1.000 1.000 det
15 45 80.421 87.645 1.000 1.000 det
15 46 66.970 72.995 1.001 1.001 det
15 398 61.344 50.423 1.000 1.000 det
15 399 74.586 86.321 1.000 1.000 det
15 3 91.038 70.327 1.000 1.000 det
16 0 57.160 49.558 1.000 1.000 det
16 1 86.584 71.266 1.000 1.000 det
16 2 66.578 82.592 1.002 1.001 det
16 5 51.509 49.160 1.000 1.001 det
16 6 79.632 71.644 1.000 1.000 det
16 7 74.363 84.659 1.001 1.001 det
16 44 61.262 50.366 1.000 1.000 det
16 45 86.031 88.051 1.000 1.000 det
16 46 72.588 71.456 1.000 1.000 det
16 398 65.973 51.448 1.000 1.000 det
16 399 80.013 87.591 1.000 1.000 det
16 3 90.540 70.675 1.000 1.000 det
17 0 61.374 50.382 1.000 1.000 det
17 1 96.183 69.895 1.000 1.000 det
17 2 74.193 84.662 1.001 1.000 det
17 5 57.091 49.551 1.000 1.000 det
17 6 86.318 71.257 1.000 1.000 det
17 7 80.571 86.360 1.000 1.000 det
17 44 65.919 51.413 1.000 1.000 det
17 45 91.281 87.445 1.000 1.000 det
17 46 78.504 70.331 1.000 1.000 det
17 398 70.243 53.141 1.000 1.000 det
17 399 85.770 88.014 1.000 1.000 det
17 3 90.612 70.690 1.000 1.000 det
18 0 65.974 51.424 1.000 1.000 det
18 1 104.035 67.992 1.000 1.000 det
18 2 80.444 86.362 1.000 1.000 det
18 5 61.347 50.379 1.000 1.000 det
18 6 96.024 69.888 1.000 1.000 det
18 7 86.552 87.194 1.000 1.000 det
18 44 70.210 53.122 1.000 1.000 det
18 45 96.913 86.340 1.000 1.000 det
18 46 85.141 69.983 1.000 1.000 det
18 398 74.890 54.593 1.000 1.000 det
18 399 91.131 87.423 1.000 1.000 det
18 3 90.920 70.558 1.000 1.000 det
19 0 70.231 53.129 1.000 1.000 det
19 1 111.387 67.006 1.000 1.000 det
19 2 86.466 87.196 1.000 1.000 det
19 5 65.969 51.423 1.000 1.000 det
19 6 103.952 67.987 1.000 1.000 det
19 7 91.861 86.929 1.000 1.000 det
19 44 74.873 54.584 1.000 1.000 det
19 45 102.195 85.045 1.000 1.000 det
19 46 95.048 68.868 1.000 1.000 det
19 398 79.762 55.280 1.000 1.000 det
19 399 96.838 86.328 1.000 1.000 det
19 3 91.255 70.396 1.000 1.000 det
20 0 74.876 54.588 1.000 1.000 det
20 1 117.883 67.170 1.000 1.000 det
20 2 85.882 87.248 1.000 1.000 det
20 5 70.237 53.129 1.000 1.000 det
20 6 111.351 67.003 1.000 1.000 det
20 7 97.409 86.064 1.000 1.000 det
20 44 79.755 55.277 1.000 1.000 det
20 45 107.857 83.726 1.000 1.000 det
20 46 103.242 67.265 1.000 1.000 det
20 398 84.174 56.096 1.000 1.000 det
20 399 102.165 85.040 1.000 1.000 det
20 3 95.034 69.671 1.000 1.000 det
21 0 79.749 55.279 1.000 1.000 det
21 1 123.926 67.974 1.000 1.000 det
21 2 91.084 86.908 1.000 1.000 det
21 5 74.884 54.589 1.000 1.000 det
21 6 117.874 67.168 1.000 1.000 det
