# frame tid x y w h state(det|pred)
1 0 11.000 71.000 1.000 1.000 det
1 1 9.000 82.000 1.000 1.000 det
1 2 122.000 63.000 1.000 1.000 det
1 3 5.000 51.000 3.000 3.000 det
2 0 11.000 71.000 1.000 1.000 det
2 1 9.000 82.000 1.000 1.000 det
2 2 122.000 63.000 1.000 1.000 det
2 3 5.000 51.000 3.000 3.000 det
3 0 11.000 71.000 1.000 1.000 det
3 1 9.000 82.000 1.000 1.000 det
3 3 5.404 50.596 3.000 3.000 det
3 2 122.000 63.000 1.000 1.000 pred
4 0 11.000 71.000 1.000 1.000 det
4 1 9.000 82.000 1.000 1.000 det
4 3 5.530 50.470 3.000 3.000 det
4 2 122.000 63.000 1.000 1.000 pred
5 0 11.000 71.000 1.000 1.000 det
5 1 9.000 82.000 1.000 1.000 det
5 3 5.567 50.433 3.000 3.000 det
5 2 122.000 63.000 1.000 1.000 pred
6 0 11.000 71.000 1.000 1.000 det
6 1 9.000 82.000 1.000 1.000 det
6 3 5.570 50.430 3.000 3.000 det
6 2 122.000 63.000 1.000 1.000 pred
7 0 11.000 71.000 1.000 1.000 det
7 1 9.000 82.000 1.000 1.000 det
7 3 5.559 50.441 3.000 3.000 det
7 2 122.000 63.000 1.000 1.000 pred
8 0 11.000 71.000 1.000 1.000 det
8 1 9.000 82.000 1.000 1.000 det
8 3 5.544 50.456 3.000 3.000 det
8 2 122.000 63.000 1.000 1.000 det
9 0 11.000 71.000 1.000 1.000 det
9 1 9.000 82.000 1.000 1.000 det
9 3 5.530 50.470 3.000 3.000 det
9 2 122.000 63.000 1.000 1.000 det
10 0 11.000 71.000 1.000 1.000 det
10 1 9.000 82.000 1.000 1.000 det
10 3 5.518 50.482 3.000 3.000 det
10 2 122.000 63.000 1.000 1.000 det
11 0 11.000 71.000 1.000 1.000 det
11 1 9.000 82.000 1.000 1.000 det
11 3 5.510 50.490 3.000 3.000 det
11 2 122.000 63.000 1.000 1.000 det
12 0 11.000 71.000 1.000 1.000 det
12 1 9.000 82.000 1.000 1.000 det
12 3 5.504 50.496 3.000 3.000 det
12 2 122.000 63.000 1.000 1.000 pred
13 0 11.000 71.000 1.000 1.000 det
13 1 9.000 82.000 1.000 1.000 det
13 3 5.501 50.499 3.000 3.000 det
13 2 122.000 63.000 1.000 1.000 pred
14 0 11.000 71.000 1.000 1.000 det
14 1 9.000 82.000 1.000 1.000 det
14 3 5.500 50.500 3.000 3.000 det
14 2 122.000 63.000 1.000 1.000 pred
15 0 11.000 71.000 1.000 1.000 det
15 1 9.000 82.000 1.000 1.000 det
15 3 5.499 50.501 3.000 3.000 det
15 2 122.000 63.000 1.000 1.000 pred
16 0 11.000 71.000 1.000 1.000 det
16 1 9.000 82.000 1.000 1.000 det
16 3 5.499 50.501 3.000 3.000 det
16 2 122.000 63.000 1.000 1.000 pred
17 0 11.000 71.000 1.000 1.000 det
17 1 9.000 82.000 1.000 1.000 det
17 3 5.499 50.501 3.000 3.000 det
17 2 122.000 63.000 1.000 1.000 pred
18 0 11.000 71.000 1.000 1.000 det
18 1 9.000 82.000 1.000 1.000 det
18 3 5.499 50.501 3.000 3.000 det
18 2 117.156 67.844 1.000 1.000 det
19 0 11.000 71.000 1.000 1.000 det
19 1 9.000 82.000 1.000 1.000 det
19 3 5.500 50.500 3.000 3.000 det
19 2 116.798 68.202 1.000 1.000 det
20 0 11.000 71.000 1.000 1.000 det
20 1 9.000 82.000 1.000 1.000 det
20 3 5.500 50.500 3.000 3.000 det
20 2 116.673 68.327 1.000 1.000 det
21 0 11.000 71.000 1.000 1.000 det
21 1 9.000 82.000 1.000 1.000 det
21 3 5.500 50.500 3.000 3.000 det
21 2 116.689 68.311 1.000 1.000 det
22 0 11.000 71.000 1.000 1.000 det
22 1 9.000 82.000 1.000 1.000 det
22 3 5.500 50.500 3.000 3.000 det
22 2 116.760 68.240 1.000 1.000 det
23 0 11.000 71.000 1.000 1.000 det
23 1 9.000 82.000 1.000 1.000 det
23 3 5.500 50.500 3.000 3.000 det
23 2 116.835 68.165 1.000 1.000 det
24 0 11.000 71.000 1.000 1.000 det
24 1 9.000 82.000 1.000 1.000 det
24 3 5.500 50.500 3.000 3.000 det
24 2 116.898 68.102 1.000 1.000 det
25 0 11.000 71.000 1.000 1.000 det
25 1 9.000 82.000 1.000 1.000 det
25 3 5.500 50.500 3.000 3.000 det
25 2 116.943 68.057 1.000 1.000 det
26 0 11.000 71.000 1.000 1.000 det
26 1 9.000 82.000 1.000 1.000 det
26 3 5.500 50.500 3.000 3.000 det
26 2 116.972 68.028 1.000 1.000 det
27 0 11.000 71.000 1.000 1.000 det
27 1 9.000 82.000 1.000 1.000 det
27 3 5.500 50.500 3.000 3.000 det
27 2 116.990 68.010 1.000 1.000 det
28 0 11.000 71.000 1.000 1.000 det
28 1 9.000 82.000 1.000 1.000 det
28 3 5.500 50.500 3.000 3.000 det
28 2 116.999 68.001 1.000 1.000 det
29 0 11.000 71.000 1.000 1.000 det
29 1 9.000 82.000 1.000 1.000 det
29 3 5.500 50.500 3.000 3.000 det
29 2 117.003 67.997 1.000 1.000 det
