# frame tid x y w h state(det|pred)
1 0 5.000 51.000 3.000 3.000 det
1 1 11.000 71.000 1.000 1.000 det
1 2 9.000 82.000 1.000 1.000 det
1 3 122.000 63.000 1.000 1.000 det
2 0 5.000 51.000 3.000 3.000 det
2 1 11.000 71.000 1.000 1.000 det
2 2 9.000 82.000 1.000 1.000 det
2 3 122.000 63.000 1.000 1.000 det
2 4 116.000 62.000 1.000 1.000 det
2 5 12.000 52.000 1.000 1.000 det
2 6 16.000 70.000 3.000 3.000 det
2 7 14.000 83.000 3.000 2.000 det
3 0 5.435 50.565 3.000 3.000 det
3 1 11.000 71.000 1.000 1.000 det
3 2 9.000 82.000 1.000 1.000 det
3 3 122.000 63.000 1.000 1.000 pred
3 4 116.000 62.000 1.000 1.000 pred
3 5 12.000 52.000 1.000 1.000 det
3 6 15.528 69.528 3.000 3.000 det
3 7 14.000 82.528 3.000 2.000 det
3 8 16.000 51.000 1.000 1.000 det
3 9 23.000 70.000 1.000 1.000 det
3 10 19.000 82.000 2.000 2.000 det
4 0 5.906 50.794 2.300 2.300 det
4 1 11.000 71.000 1.000 1.000 det
4 2 9.000 82.000 1.000 1.000 det
4 3 122.000 63.000 1.000 1.000 pred
4 5 12.000 52.000 1.000 1.000 det
4 6 15.823 69.823 2.300 2.300 det
4 7 14.700 82.823 1.600 1.300 det
4 4 116.000 62.000 1.000 1.000 pred
4 8 16.000 51.000 1.000 1.000 det
4 9 23.000 70.000 1.000 1.000 det
4 10 19.000 82.000 2.000 2.000 det
4 11 21.000 50.000 1.000 1.000 det
4 12 29.000 70.000 2.000 2.000 det
4 13 26.000 83.000 1.000 1.000 det
5 0 6.035 50.875 2.090 2.090 det
5 1 11.000 71.000 1.000 1.000 det
5 2 9.000 82.000 1.000 1.000 det
5 3 122.000 63.000 1.000 1.000 pred
5 5 12.000 52.000 1.000 1.000 det
5 6 15.929 69.929 2.090 2.090 det
5 7 14.910 82.929 1.180 1.090 det
5 8 16.000 51.000 1.000 1.000 det
5 9 23.000 70.000 1.000 1.000 det
5 10 19.000 82.000 2.000 2.000 det
5 4 116.000 62.000 1.000 1.000 pred
5 11 21.000 50.000 1.000 1.000 det
5 12 29.000 70.000 2.000 2.000 det
5 13 26.000 83.000 1.000 1.000 det
5 14 25.000 51.000 1.000 2.000 det
5 15 36.000 70.000 1.000 1.000 det
5 16 31.000 83.000 2.000 2.000 det
6 0 6.062 50.911 2.027 2.027 det
6 1 11.000 71.000 1.000 1.000 det
6 2 9.000 82.000 1.000 1.000 det
6 3 122.000 63.000 1.000 1.000 pred
6 5 12.000 52.000 1.000 1.000 det
6 6 15.966 69.966 2.027 2.027 det
6 7 14.973 82.966 1.054 1.027 det
6 8 16.000 51.000 1.000 1.000 det
6 9 23.000 70.000 1.000 1.000 det
6 10 19.000 82.000 2.000 2.000 det
6 11 21.000 50.000 1.000 1.000 det
6 12 29.000 70.000 2.000 2.000 det
6 13 26.000 83.000 1.000 1.000 det
6 4 116.000 62.000 1.000 1.000 pred
6 14 25.000 51.000 1.000 2.000 det
6 15 36.000 70.000 1.000 1.000 det
6 16 30.528 82.528 2.000 2.000 det
6 17 30.000 50.000 1.000 1.000 det
6 18 42.000 71.000 1.000 1.000 det
6 19 36.000 82.000 2.000 1.000 det
7 0 9.448 51.242 2.008 2.008 det
7 1 14.391 70.692 1.000 1.000 det
7 2 12.705 82.617 1.000 1.000 det
7 3 122.000 63.000 1.000 1.000 pred
7 5 14.606 51.348 1.000 1.000 det
7 6 20.229 69.654 2.008 2.008 det
7 7 17.925 82.655 1.016 1.008 det
7 8 19.545 50.291 1.000 1.000 det
7 9 27.612 70.355 1.000 1.000 det
7 10 23.612 82.355 2.000 2.000 det
7 11 24.157 51.184 1.000 1.000 det
7 12 34.132 69.605 2.000 2.000 det
7 13 30.342 83.395 1.000 1.000 det
7 14 29.346 49.696 1.000 2.000 det
7 15 41.215 70.869 1.000 1.000 det
7 16 35.604 81.954 1.300 1.300 det
7 4 111.022 61.004 1.000 1.000 det
7 17 33.776 50.000 1.000 1.000 det
7 18 47.664 71.000 1.000 1.000 det
7 19 41.192 82.944 2.000 1.000 det
8 0 13.918 51.167 1.302 1.302 det
8 1 15.198 70.237 1.700 1.700 pred
8 2 17.326 82.630 1.000 1.000 det
8 3 122.000 63.000 1.000 1.000 pred
8 4 110.707 60.941 1.000 1.000 det
8 5 18.936 50.421 1.000 1.000 det
8 6 22.553 69.860 1.302 1.302 det
8 7 23.029 82.470 1.705 1.702 det
8 8 23.626 50.979 1.000 1.000 det
8 9 29.161 70.151 1.700 1.700 det
8 10 29.481 83.180 1.300 1.300 det
8 11 28.795 50.180 1.000 1.700 det
8 12 36.255 69.819 1.300 1.300 det
8 13 35.039 82.117 1.700 1.700 det
8 14 33.713 49.683 1.000 1.300 det
8 15 42.666 71.111 1.000 1.000 det
8 16 41.031 82.607 1.790 1.090 det
8 17 38.561 50.000 1.000 1.000 det
8 18 48.322 71.000 1.000 1.000 det
8 19 46.491 82.184 1.300 1.000 det
9 0 19.066 50.438 1.091 1.091 det
9 1 16.354 70.131 1.700 1.700 pred
9 2 23.261 82.563 1.700 1.700 det
9 3 122.000 63.000 1.000 1.000 pred
9 4 109.987 60.797 1.000 1.000 pred
9 5 23.439 50.890 1.000 1.000 det
9 6 27.421 70.206 1.091 1.091 det
9 7 29.303 83.125 1.211 1.211 det
9 8 28.508 50.042 1.000 1.700 det
9 9 33.806 69.792 1.910 1.910 det
9 10 34.431 82.517 1.790 1.790 det
9 11 33.209 50.113 1.000 1.210 det
9 12 40.826 70.533 1.090 1.090 det
9 13 40.458 82.619 1.910 1.210 det
9 14 38.587 49.716 1.000 1.090 det
9 15 47.206 71.159 1.000 1.000 det
9 16 46.621 82.160 1.237 1.027 det
9 17 42.923 49.211 1.000 1.000 det
9 18 58.589 72.581 1.000 1.000 det
9 19 50.957 81.152 1.090 1.000 det
9 20 83.000 59.000 1.000 1.000 det
10 0 23.867 50.941 1.027 1.027 det
10 1 17.510 70.026 1.700 1.700 pred
10 2 29.836 83.245 1.210 1.210 det
10 3 122.000 63.000 1.000 1.000 pred
10 4 109.267 60.653 1.000 1.000 pred
10 5 28.540 49.941 1.000 1.700 det
10 6 33.345 69.733 1.727 1.727 det
10 7 34.518 82.446 1.763 1.763 det
10 8 33.104 49.989 1.000 1.210 det
10 9 39.947 70.570 1.273 1.273 det
10 10 39.900 82.511 2.637 1.937 det
10 11 38.110 50.033 1.000 1.063 det
10 12 46.453 70.865 1.027 1.027 det
10 13 46.146 82.215 1.273 1.063 det
10 14 42.957 49.109 1.000 1.027 det
10 15 57.484 72.466 1.000 1.000 det
10 16 51.204 81.325 1.071 1.008 det
10 17 47.753 49.646 1.000 1.000 det
10 18 66.321 72.413 1.000 1.000 det
10 19 57.928 80.820 1.027 1.000 det
10 20 83.000 59.000 1.000 1.000 det
10 21 72.000 58.000 1.000 2.000 det
11 0 28.997 49.998 1.008 1.708 det
11 1 18.666 69.921 1.700 1.700 pred
11 2 35.366 82.238 1.763 1.763 det
11 3 122.000 63.000 1.000 1.000 pred
11 4 108.547 60.509 1.000 1.000 pred
11 5 33.241 49.890 1.000 1.210 det
11 6 40.193 70.514 1.218 1.218 det
11 7 40.108 82.446 2.629 1.929 det
11 8 38.094 49.924 1.000 1.063 det
11 9 46.343 70.906 1.082 1.082 det
11 10 46.053 82.273 1.491 1.281 det
11 11 42.612 49.387 1.000 1.019 det
11 12 57.094 72.275 1.008 1.008 det
11 13 50.906 81.410 1.082 1.019 det
11 14 47.721 49.467 1.000 1.008 det
11 15 65.694 72.411 1.000 1.000 det
11 16 57.844 80.953 1.021 1.002 det
11 17 51.432 49.202 1.000 1.000 det
11 18 73.030 72.290 1.000 1.000 det
11 19 63.781 82.036 1.008 1.000 det
11 20 83.000 59.000 1.000 1.000 det
11 21 72.000 57.528 1.000 2.000 det
11 22 67.000 61.000 1.000 1.000 det
12 0 33.629 49.937 1.002 1.212 det
12 1 19.823 69.816 1.700 1.700 pred
12 2 41.046 82.714 1.929 1.229 det
12 3 122.000 63.000 1.000 1.000 pred
12 4 107.827 60.365 1.000 1.000 pred
12 5 38.258 49.844 1.000 1.063 det
12 6 46.838 70.874 1.065 1.065 det
12 7 46.278 82.216 1.489 1.279 det
12 8 42.657 49.313 1.000 1.019 det
12 9 57.419 72.302 1.025 1.025 det
12 10 50.994 81.481 1.147 1.084 det
12 11 47.468 49.634 1.000 1.006 det
12 12 65.681 72.331 1.002 1.002 det
12 13 57.562 81.003 1.025 1.006 det
12 14 51.486 49.101 1.000 1.002 det
12 15 72.756 72.317 1.000 1.000 det
12 16 63.686 81.992 1.006 1.001 det
12 17 57.085 49.615 1.000 1.000 det
12 18 79.297 71.579 1.000 1.000 det
12 19 69.141 83.266 1.002 1.000 det
12 20 83.000 59.000 1.000 1.000 det
12 21 72.000 57.823 1.000 1.300 det
12 22 67.000 61.000 1.000 1.000 det
13 0 38.548 49.876 1.001 1.064 det
13 1 20.979 69.711 1.700 1.700 pred
13 2 46.766 82.303 1.279 1.069 det
13 4 107.107 60.221 1.000 1.000 pred
13 5 42.808 49.253 1.000 1.019 det
13 6 52.287 71.089 1.020 1.020 pred
13 7 51.181 81.430 1.147 1.084 det
13 8 47.533 49.574 1.000 1.006 det
13 9 62.135 72.945 1.007 1.007 det
13 10 57.693 81.046 1.044 1.025 det
13 11 51.347 49.222 1.000 1.002 det
13 12 72.880 72.277 1.001 1.001 det
13 13 63.493 81.983 1.007 1.002 det
13 14 57.042 49.508 1.000 1.001 det
13 15 79.224 71.623 1.000 1.000 det
13 16 69.089 83.167 1.002 1.000 det
13 17 61.307 50.432 1.000 1.000 det
13 18 85.957 71.203 1.000 1.000 det
13 19 74.860 85.070 1.001 1.000 det
13 20 83.000 59.000 1.000 1.000 pred
13 21 68.053 60.297 1.000 1.090 det
13 22 67.000 70.563 1.000 1.000 det
14 0 43.014 49.278 1.000 1.019 det
14 1 22.135 69.606 1.700 1.700 pred
14 2 51.450 81.472 1.084 1.021 det
14 4 106.387 60.077 1.000 1.000 pred
14 5 47.657 49.534 1.000 1.006 det
14 6 60.203 72.585 1.020 1.020 det
