# frame tid x y w h state(det|pred)
1 0 11.000 71.000 1.000 1.000 det
1 1 9.000 82.000 1.000 1.000 det
1 2 122.000 63.000 1.000 1.000 det
1 3 5.000 51.000 3.000 3.000 det
2 0 11.000 71.000 1.000 1.000 det
2 1 9.000 82.000 1.000 1.000 det
2 2 122.000 63.000 1.000 1.000 det
2 3 5.000 51.000 3.000 3.000 det
3 0 11.000 71.000 1.000 1.000 det
3 1 9.000 82.000 1.000 1.000 det
3 3 5.936 51.064 2.000 2.000 det
3 2 122.000 63.000 1.000 1.000 pred
4 0 11.000 71.000 1.000 1.000 det
4 1 9.000 82.000 1.000 1.000 det
4 3 6.052 50.948 2.000 2.000 det
4 2 122.000 63.000 1.000 1.000 pred
5 0 11.000 71.000 1.000 1.000 det
5 1 9.000 82.000 1.000 1.000 det
5 3 6.071 50.929 2.000 2.000 det
5 2 122.000 63.000 1.000 1.000 pred
6 0 11.000 71.000 1.000 1.000 det
6 1 9.000 82.000 1.000 1.000 det
6 3 6.062 50.938 2.000 2.000 det
6 2 122.000 63.000 1.000 1.000 pred
7 0 11.000 71.000 1.000 1.000 det
7 1 9.000 82.000 1.000 1.000 det
7 3 6.046 50.954 2.000 2.000 det
7 2 122.000 63.000 1.000 1.000 pred
8 0 11.000 71.000 1.000 1.000 det
8 1 9.000 82.000 1.000 1.000 det
8 3 6.030 50.970 2.000 2.000 det
8 2 122.000 63.000 1.000 1.000 det
9 0 11.000 71.000 1.000 1.000 det
9 1 9.000 82.000 1.000 1.000 det
9 3 6.018 50.982 2.000 2.000 det
9 2 122.000 63.000 1.000 1.000 det
10 0 11.000 71.000 1.000 1.000 det
10 1 9.000 82.000 1.000 1.000 det
10 3 6.009 50.991 2.000 2.000 det
10 2 122.000 63.000 1.000 1.000 det
11 0 11.000 71.000 1.000 1.000 det
11 1 9.000 82.000 1.000 1.000 det
11 3 6.004 50.996 2.000 2.000 det
11 2 122.000 63.000 1.000 1.000 det
12 0 11.000 71.000 1.000 1.000 det
12 1 9.000 82.000 1.000 1.000 det
12 3 6.001 50.999 2.000 2.000 det
12 2 122.000 63.000 1.000 1.000 pred
13 0 11.000 71.000 1.000 1.000 det
13 1 9.000 82.000 1.000 1.000 det
13 3 6.000 51.000 2.000 2.000 det
13 2 122.000 63.000 1.000 1.000 pred
14 0 11.000 71.000 1.000 1.000 det
14 1 9.000 82.000 1.000 1.000 det
14 3 6.000 51.000 2.000 2.000 det
14 2 122.000 63.000 1.000 1.000 pred
15 0 11.000 71.000 1.000 1.000 det
15 1 9.000 82.000 1.000 1.000 det
15 3 6.000 51.000 2.000 2.000 det
15 2 122.000 63.000 1.000 1.000 pred
16 0 11.000 71.000 1.000 1.000 det
16 1 9.000 82.000 1.000 1.000 det
16 3 6.000 51.000 2.000 2.000 det
16 2 122.000 63.000 1.000 1.000 pred
17 0 11.000 71.000 1.000 1.000 det
17 1 9.000 82.000 1.000 1.000 det
17 3 6.000 51.000 2.000 2.000 det
17 2 122.000 63.000 1.000 1.000 pred
18 0 11.000 71.000 1.000 1.000 det
18 1 9.000 82.000 1.000 1.000 det
18 3 6.000 51.000 2.000 2.000 det
18 2 117.107 67.893 1.000 1.000 det
19 0 11.000 71.000 1.000 1.000 det
19 1 9.000 82.000 1.000 1.000 det
19 3 6.000 51.000 2.000 2.000 det
19 2 116.791 68.209 1.000 1.000 det
20 0 11.000 71.000 1.000 1.000 det
20 1 9.000 82.000 1.000 1.000 det
20 3 6.000 51.000 2.000 2.000 det
20 2 116.726 68.274 1.000 1.000 det
21 0 11.000 71.000 1.000 1.000 det
21 1 9.000 82.000 1.000 1.000 det
21 3 6.000 51.000 2.000 2.000 det
21 2 116.777 68.223 1.000 1.000 det
22 0 11.000 71.000 1.000 1.000 det
22 1 9.000 82.000 1.000 1.000 det
22 3 6.000 51.000 2.000 2.000 det
22 2 116.849 68.151 1.000 1.000 det
23 0 11.000 71.000 1.000 1.000 det
23 1 9.000 82.000 1.000 1.000 det
23 3 6.000 51.000 2.000 2.000 det
23 2 116.909 68.091 1.000 1.000 det
24 0 11.000 71.000 1.000 1.000 det
24 1 9.000 82.000 1.000 1.000 det
24 3 6.000 51.000 2.000 2.000 det
24 2 116.951 68.049 1.000 1.000 det
25 0 11.000 71.000 1.000 1.000 det
25 1 9.000 82.000 1.000 1.000 det
25 3 6.000 51.000 2.000 2.000 det
25 2 116.977 68.023 1.000 1.000 det
26 0 11.000 71.000 1.000 1.000 det
26 1 9.000 82.000 1.000 1.000 det
26 3 6.000 51.000 2.000 2.000 det
26 2 116.991 68.009 1.000 1.000 det
27 0 11.000 71.000 1.000 1.000 det
27 1 9.000 82.000 1.000 1.000 det
27 3 6.000 51.000 2.000 2.000 det
27 2 116.998 68.002 1.000 1.000 det
28 0 11.000 71.000 1.000 1.000 det
28 1 9.000 82.000 1.000 1.000 det
28 3 6.000 51.000 2.000 2.000 det
28 2 117.001 67.999 1.000 1.000 det
29 0 11.000 71.000 1.000 1.000 det
29 1 9.000 82.000 1.000 1.000 det
29 3 6.000 51.000 2.000 2.000 det
29 2 117.002 67.998 1.000 1.000 det
