frame,num_gt,num_hyp,num_matched,Pd_frame,RMSE_px,RMSE_m,IDSW_frame
0,4,0,0,0.0,,,0
1,4,0,0,0.0,,,0
2,4,4,2,0.5,6.002928373944507,2.382668300169802,0
3,4,7,1,0.25,4.477077760787043,1.7770312410062916,1
4,4,10,1,0.25,4.140466468597995,1.64342427363696,1
5,4,10,1,0.25,3.883082622539082,1.541264079015583,1
6,4,10,1,0.25,3.5740811273277853,1.4186159277331714,0
7,4,10,1,0.25,2.723288941729295,1.0809214818929542,0
8,4,10,1,0.25,2.0289763008000334,0.805336531199584,0
9,4,10,2,0.5,6.759730322930718,2.683056360967417,1
10,4,10,2,0.5,5.402374138978404,2.1442977168396187,1
11,4,10,2,0.5,5.509971307197993,2.187004933373738,0
12,4,10,2,0.5,7.586116479501881,3.011063622807765,1
13,4,10,3,0.75,4.437700683766066,1.7614017836270468,3
14,4,10,3,0.75,3.886220507659707,1.542509561043811,3
15,4,10,2,0.5,6.63469467750414,2.633427504817428,0
16,4,10,1,0.25,1.3039404943158908,0.51755701344021,0
17,4,10,1,0.25,0.25787260825228914,0.102354192968839,0
18,4,10,1,0.25,2.450392142071804,0.9726039219860327,0
19,4,10,1,0.25,4.06836390957382,1.61480549442685,0
20,4,10,1,0.25,5.542149691324157,2.199777102393925,0
21,4,10,1,0.25,6.950022684931094,2.758586760542183,0
22,3,10,2,0.6666666666666666,5.26503656881313,2.089786009474348,2
23,3,10,2,0.6666666666666666,5.708735646778959,2.2658980104891255,1
24,2,10,1,0.5,3.703383848598999,1.4699384616544233,0
25,1,10,0,0.0,,,0
26,1,10,0,0.0,,,0
27,1,9,0,0.0,,,0
28,1,8,0,0.0,,,0
29,1,7,0,0.0,,,0
