# frame tid x y w h state(det|pred)
2 0 5.000 51.000 3.000 3.000 det
2 1 11.000 71.000 1.000 1.000 det
2 2 9.000 82.000 1.000 1.000 det
2 3 122.000 63.000 1.000 1.000 det
3 0 5.776 50.924 2.300 2.300 det
3 1 11.000 71.000 1.000 1.000 det
3 2 9.000 82.000 1.000 1.000 det
3 5 12.000 52.000 1.000 1.000 det
3 6 15.883 69.883 2.300 2.300 det
3 7 14.700 82.883 1.600 1.300 det
3 3 122.000 63.000 1.000 1.000 pred
4 0 6.002 50.908 2.090 2.090 det
4 1 11.000 71.000 1.000 1.000 det
4 2 9.000 82.000 1.000 1.000 det
4 5 12.000 52.000 1.000 1.000 det
4 6 15.934 69.934 2.090 2.090 det
4 7 14.910 82.934 1.180 1.090 det
4 24 16.000 51.000 1.000 1.000 det
4 25 23.000 70.000 1.000 1.000 det
4 26 19.000 82.000 2.000 2.000 det
4 3 122.000 63.000 1.000 1.000 pred
5 0 13.610 50.897 1.327 1.327 det
5 1 14.655 70.286 1.700 1.700 det
5 2 13.390 82.732 1.000 1.000 det
5 9 12.000 52.000 1.000 1.000 det
5 10 21.507 69.914 1.327 1.327 det
5 11 18.199 82.216 1.754 1.727 det
5 42 20.266 50.147 1.000 1.000 det
5 43 28.200 70.077 1.700 1.700 det
5 44 24.900 82.777 1.300 1.300 det
5 3 110.977 61.000 1.000 1.000 det
6 0 14.771 51.207 1.098 1.098 det
6 1 21.167 70.027 1.210 1.210 det
6 2 17.846 82.311 1.700 1.700 det
6 9 19.865 50.216 1.000 1.000 det
6 10 27.779 69.930 1.798 1.798 det
6 11 24.431 82.715 1.226 1.218 det
6 42 24.637 50.749 1.000 1.700 det
6 43 35.163 70.042 1.210 1.210 det
6 44 30.526 83.001 1.090 1.090 det
6 3 109.151 60.646 1.000 1.000 pred
7 0 19.771 50.355 1.029 1.029 det
7 1 27.922 69.945 1.763 1.763 det
7 2 24.484 82.842 1.210 1.210 det
7 9 24.253 50.524 1.000 1.700 det
7 10 34.817 69.962 1.239 1.239 det
7 11 30.068 82.897 1.768 1.765 det
7 42 29.542 50.255 1.000 1.210 det
7 43 41.590 70.734 1.063 1.063 det
7 44 35.810 82.337 1.727 1.027 det
7 3 107.325 60.291 1.000 1.000 pred
8 0 24.273 50.587 1.009 1.709 det
8 1 35.124 69.944 1.229 1.229 det
8 2 30.268 83.015 1.763 1.763 det
8 9 29.126 50.131 1.000 1.210 det
8 10 41.300 70.623 1.072 1.072 det
8 11 35.427 82.364 1.930 1.230 det
8 42 33.914 50.039 1.000 1.063 det
8 43 47.791 70.992 1.019 1.019 det
8 44 41.648 82.724 1.218 1.008 det
8 3 105.499 59.936 1.000 1.000 pred
9 0 29.190 50.212 1.003 1.213 det
9 1 41.606 70.663 1.069 1.069 det
9 2 34.936 82.419 2.629 1.929 det
9 5 43.119 49.308 1.000 1.006 det
9 6 47.566 70.894 1.022 1.022 det
9 7 41.319 82.715 1.279 1.069 det
9 30 33.945 49.928 1.000 1.063 det
9 31 58.631 72.426 1.006 1.006 det
9 32 46.986 82.290 1.065 1.002 det
9 3 81.487 58.852 1.000 1.000 det
10 0 33.683 49.998 1.001 1.064 det
10 1 47.833 70.930 1.021 1.021 det
10 2 41.267 82.839 1.489 1.279 det
10 5 47.808 49.538 1.000 1.002 det
10 6 58.834 72.449 1.006 1.006 det
10 7 46.733 82.282 1.084 1.021 det
10 30 38.690 49.836 1.000 1.019 det
10 31 66.572 72.355 1.002 1.002 det
10 32 51.554 81.507 1.020 1.001 det
10 3 72.147 58.120 1.700 1.700 det
11 0 38.521 49.885 1.000 1.019 det
11 1 59.087 72.497 1.006 1.006 det
11 2 46.816 82.356 1.147 1.084 det
11 5 51.631 49.170 1.000 1.001 det
11 6 66.727 72.308 1.002 1.002 det
11 7 51.386 81.498 1.025 1.006 det
11 30 43.065 49.265 1.000 1.006 det
11 31 73.435 72.315 1.001 1.001 det
11 32 57.934 81.095 1.006 1.000 det
11 3 66.483 60.115 1.210 1.210 det
12 0 42.972 49.303 1.000 1.006 det
12 1 66.910 72.329 1.002 1.002 det
12 2 51.477 81.512 1.044 1.025 det
12 5 47.630 49.493 1.000 1.002 det
12 6 73.437 72.236 1.001 1.001 det
12 7 57.814 81.077 1.008 1.002 det
12 24 51.595 49.178 1.000 1.001 det
12 25 79.790 71.672 1.000 1.000 det
12 26 63.693 81.947 1.002 1.000 det
12 3 65.214 60.902 1.063 1.063 det
13 0 47.722 49.515 1.000 1.002 det
13 1 73.581 72.246 1.001 1.001 det
13 2 57.946 81.069 1.013 1.008 det
13 5 61.302 50.215 1.000 1.000 det
13 6 79.692 71.540 1.000 1.000 det
13 7 63.617 81.928 1.002 1.001 det
13 30 51.614 49.140 1.000 1.001 det
13 31 86.423 71.310 1.000 1.000 det
13 32 69.097 82.995 1.001 1.000 det
13 3 60.687 61.456 1.063 1.063 pred
14 0 51.602 49.155 1.000 1.001 det
14 1 79.769 71.535 1.000 1.000 det
14 2 63.732 81.932 1.004 1.002 det
14 5 65.917 51.173 1.000 1.000 det
14 6 86.326 71.198 1.000 1.000 det
14 7 69.052 82.981 1.001 1.000 det
14 30 57.002 49.465 1.000 1.000 det
14 31 92.647 70.550 1.000 1.000 det
14 32 74.802 84.669 1.000 1.000 det
14 3 55.965 63.718 1.019 1.019 det
15 0 57.008 49.474 1.000 1.000 det
15 1 86.366 71.193 1.000 1.000 det
15 2 69.139 82.989 1.001 1.001 det
15 5 61.267 50.198 1.000 1.000 det
15 6 92.539 70.438 1.000 1.000 det
15 7 85.833 86.973 1.000 1.000 det
15 27 65.909 51.177 1.000 1.000 det
15 28 98.670 69.593 1.000 1.000 det
15 29 74.788 84.631 1.000 1.000 det
15 3 50.406 64.238 1.006 1.006 det
16 0 61.305 50.199 1.000 1.000 det
16 1 92.553 70.432 1.000 1.000 det
16 2 74.845 84.676 1.000 1.000 det
16 5 74.863 54.209 1.000 1.000 det
16 6 98.563 69.489 1.000 1.000 det
16 7 80.157 86.149 1.000 1.000 det
16 30 65.911 51.157 1.000 1.000 det
16 31 104.592 68.009 1.000 1.000 det
16 32 85.838 86.984 1.000 1.000 det
16 3 45.481 65.143 1.006 1.006 pred
17 0 65.927 51.160 1.000 1.000 det
17 1 98.561 69.482 1.000 1.000 det
17 2 80.201 86.160 1.000 1.000 det
17 5 79.696 55.022 1.000 1.000 det
17 6 104.499 67.908 1.000 1.000 det
17 7 85.837 86.982 1.000 1.000 det
17 30 70.227 52.757 1.000 1.000 det
17 31 111.003 67.132 1.000 1.000 det
17 32 91.187 86.900 1.000 1.000 det
17 3 40.556 66.048 1.006 1.006 pred
18 0 70.241 52.758 1.000 1.000 det
18 1 104.489 67.898 1.000 1.000 det
18 2 85.866 86.987 1.000 1.000 det
18 5 84.146 55.935 1.000 1.000 det
18 6 110.937 67.058 1.000 1.000 det
18 7 91.190 86.897 1.000 1.000 det
18 30 74.863 54.202 1.000 1.000 det
18 31 117.196 67.187 1.000 1.000 det
18 32 96.845 86.239 1.000 1.000 det
18 3 28.781 62.507 1.002 1.002 det
19 0 74.875 54.202 1.000 1.000 det
19 1 110.926 67.051 1.000 1.000 det
19 2 91.207 86.898 1.000 1.000 det
19 5 79.702 55.021 1.000 1.000 det
19 6 117.148 67.147 1.000 1.000 det
19 7 96.849 86.236 1.000 1.000 det
19 24 84.147 55.935 1.000 1.000 det
19 25 123.265 67.822 1.000 1.000 det
19 26 102.185 85.245 1.000 1.000 det
19 3 22.079 62.257 1.002 1.002 pred
20 0 79.706 55.017 1.000 1.000 det
20 1 117.137 67.144 1.000 1.000 det
20 2 96.859 86.234 1.000 1.000 det
20 5 84.153 55.935 1.000 1.000 det
20 6 123.232 67.806 1.000 1.000 det
20 7 102.190 85.243 1.000 1.000 det
20 24 88.859 55.386 1.000 1.000 det
20 25 129.264 68.793 1.000 1.000 det
20 26 107.841 84.091 1.000 1.000 det
20 3 15.376 62.008 1.002 1.002 pred
21 0 84.154 55.933 1.000 1.000 det
21 1 119.866 67.366 1.000 1.000 det
21 2 102.194 85.240 1.000 1.000 det
21 5 88.864 55.387 1.000 1.000 det
21 6 125.841 68.381 1.000 1.000 det
21 7 118.834 81.660 1.000 1.000 det
21 27 93.226 54.427 1.000 1.000 det
21 28 131.000 69.521 1.000 1.000 det
21 29 107.839 84.089 1.000 1.000 det
21 3 8.673 61.758 1.002 1.002 pred
22 0 88.864 55.385 1.000 1.000 det
22 1 124.010 68.122 1.000 1.000 det
22 2 107.846 84.086 1.000 1.000 det
22 5 93.230 54.428 1.000 1.000 det
22 6 129.968 69.275 1.000 1.000 det
22 7 124.176 80.974 1.000 1.000 det
22 27 97.804 52.075 1.700 1.700 det
22 29 113.179 82.877 1.000 1.000 det
22 28 131.000 69.750 1.000 1.000 pred
22 3 5.745 56.398 1.001 1.001 det
23 0 93.229 54.427 1.000 1.000 det
23 1 129.099 69.097 1.000 1.000 det
23 2 113.182 82.874 1.000 1.000 det
23 5 106.928 49.311 1.063 1.063 det
23 7 118.838 81.659 1.000 1.000 det
23 30 97.804 52.076 1.700 1.700 det
23 32 124.176 80.974 1.000 1.000 det
23 6 131.000 69.503 1.000 1.000 pred
23 31 131.000 69.980 1.000 1.000 pred
23 3 0.000 55.038 1.000 1.000 det
24 0 97.806 52.076 1.700 1.700 det
24 2 118.836 81.657 1.000 1.000 det
24 5 111.754 48.212 1.019 1.019 det
24 7 124.178 80.973 1.000 1.000 det
24 1 131.000 69.355 1.000 1.000 pred
24 30 102.260 50.317 1.210 1.210 det
24 32 129.324 79.111 1.000 1.000 det
24 6 131.000 69.732 1.000 1.000 pred
24 31 131.000 70.209 1.000 1.000 pred
24 3 0.000 54.520 1.000 1.000 det
25 0 102.261 50.317 1.210 1.210 det
25 2 124.177 80.972 1.000 1.000 det
25 5 115.477 46.937 2.406 2.406 det
25 7 129.325 79.110 1.000 1.000 det
25 30 106.928 49.311 1.063 1.063 det
25 1 131.000 69.613 1.000 1.000 pred
25 32 131.000 78.092 1.000 1.000 pred
25 6 131.000 69.961 1.000 1.000 pred
25 31 131.000 70.438 1.000 1.000 pred
25 3 0.000 54.654 1.000 1.000 det
26 0 106.928 49.311 1.063 1.063 det
26 2 129.324 79.110 1.000 1.000 det
26 5 111.755 48.212 1.019 1.019 det
26 7 131.000 78.092 1.000 1.000 pred
26 24 115.477 46.937 2.406 2.406 det
26 1 131.000 69.871 1.000 1.000 pred
26 26 131.000 77.073 1.000 1.000 pred
26 6 131.000 70.189 1.000 1.000 pred
26 25 131.000 70.668 1.000 1.000 pred
26 3 0.000 54.797 1.000 1.000 det
27 0 111.754 48.212 1.019 1.019 det
27 2 131.000 78.091 1.000 1.000 pred
27 5 115.478 46.937 2.406 2.406 det
27 7 131.000 77.073 1.000 1.000 pred
27 24 122.137 46.496 2.122 2.822 det
27 1 131.000 70.129 1.000 1.000 pred
27 26 131.000 76.054 1.000 1.000 pred
27 6 131.000 70.418 1.000 1.000 pred
27 3 0.000 54.483 1.000 1.000 pred
28 0 115.477 46.937 2.406 2.406 det
28 2 131.000 77.072 1.000 1.000 pred
28 5 120.040 46.067 2.406 2.406 pred
28 7 131.000 76.054 1.000 1.000 pred
28 24 125.532 46.389 2.037 2.947 det
28 1 131.000 70.387 1.000 1.000 pred
28 26 131.000 75.035 1.000 1.000 pred
28 3 0.000 54.170 1.000 1.000 pred
29 0 120.039 46.067 2.406 2.406 pred
29 2 131.000 76.053 1.000 1.000 pred
29 5 124.217 46.364 2.122 2.822 det
29 7 131.000 75.036 1.000 1.000 pred
29 24 130.153 45.860 1.847 2.947 pred
29 26 131.000 74.016 1.000 1.000 pred
29 3 0.000 53.857 1.000 1.000 pred
