frame,num_gt,num_hyp,num_matched,Pd_frame,RMSE_px,RMSE_m,IDSW_frame
0,4,0,0,0.0,,,0
1,4,4,2,0.5,1.860749686078009,0.738564416462579,0
2,4,4,2,0.5,6.002928375370587,2.3826683007358387,0
3,4,6,1,0.25,2.351090431213379,0.933189318999603,1
4,4,7,1,0.25,4.140466690063477,1.6434243615405213,0
5,4,9,1,0.25,4.373199462890625,1.7358001097891198,1
6,4,9,1,0.25,3.277351140975952,1.3008385550663446,0
7,4,10,1,0.25,7.778738021850586,3.0875185152026403,0
8,4,10,0,0.0,,,0
9,4,10,0,0.0,,,0
10,4,10,0,0.0,,,0
11,4,10,0,0.0,,,0
12,4,10,0,0.0,,,0
13,4,10,3,0.75,9.044942837662033,3.5900975713265186,1
14,4,10,3,0.75,6.868262393640549,2.7261346568129126,1
15,4,10,3,0.75,6.105068570669989,2.4232095483324883,2
16,4,10,1,0.25,6.989085674285889,2.7740915509790516,0
17,4,10,1,0.25,6.044671535491943,2.399236898289288,0
18,4,10,1,0.25,5.587338924407959,2.2177135071734826,0
19,4,10,1,0.25,5.909652233123779,2.345645352359801,0
20,4,10,1,0.25,6.699045658111572,2.6589695456393176,0
21,4,10,1,0.25,7.880145072937012,3.1277687649117767,0
22,3,10,1,0.3333333333333333,8.894094467163086,3.530223188670186,0
23,3,10,1,0.3333333333333333,8.580483436584473,3.4057454313831634,0
24,2,10,0,0.0,,,0
25,1,10,0,0.0,,,0
26,1,10,0,0.0,,,0
27,1,10,0,0.0,,,0
28,1,10,0,0.0,,,0
29,1,10,0,0.0,,,0
