# frame tid x y w h state(det|pred)
1 0 5.000 51.000 3.000 3.000 det
1 1 11.000 71.000 1.000 1.000 det
1 2 9.000 82.000 1.000 1.000 det
1 3 122.000 63.000 1.000 1.000 det
2 0 5.000 51.000 3.000 3.000 det
2 1 11.000 71.000 1.000 1.000 det
2 2 9.000 82.000 1.000 1.000 det
2 3 122.000 63.000 1.000 1.000 det
3 0 5.784 50.916 2.300 2.300 det
3 1 11.000 71.000 1.000 1.000 det
3 2 9.000 82.000 1.000 1.000 det
3 3 122.000 63.000 1.000 1.000 pred
3 4 23.000 70.000 1.000 1.000 det
3 5 19.000 82.000 2.000 2.000 det
4 0 6.011 50.899 2.090 2.090 det
4 1 11.000 71.000 1.000 1.000 det
4 2 9.000 82.000 1.000 1.000 det
4 3 122.000 63.000 1.000 1.000 pred
4 4 23.000 70.000 1.000 1.000 det
4 5 19.000 82.000 2.000 2.000 det
4 6 21.000 50.000 1.000 1.000 det
5 0 6.067 50.906 2.027 2.027 det
5 1 11.000 71.000 1.000 1.000 det
5 2 9.000 82.000 1.000 1.000 det
5 3 122.000 63.000 1.000 1.000 pred
5 4 23.000 70.000 1.000 1.000 det
5 5 19.000 82.000 2.000 2.000 det
5 6 21.000 50.000 1.000 1.000 det
5 7 36.000 70.000 1.000 1.000 det
5 8 31.000 83.000 2.000 2.000 det
6 0 6.074 50.918 2.008 2.008 det
6 1 11.000 71.000 1.000 1.000 det
6 2 9.000 82.000 1.000 1.000 det
6 3 122.000 63.000 1.000 1.000 pred
6 4 23.000 70.000 1.000 1.000 det
6 5 19.000 82.000 2.000 2.000 det
6 6 21.000 50.000 1.000 1.000 det
6 7 36.000 70.000 1.000 1.000 det
6 8 30.878 82.878 1.300 1.300 det
7 0 9.753 51.586 1.302 1.302 det
7 1 13.989 70.346 1.700 1.700 det
7 2 12.648 82.608 1.000 1.000 det
7 4 23.000 70.000 1.000 1.000 det
7 5 19.000 82.000 2.000 2.000 det
7 6 21.000 50.000 1.000 1.000 det
7 3 111.089 61.016 1.000 1.000 det
7 7 36.000 70.000 1.000 1.000 det
7 8 31.012 83.012 1.790 1.790 det
7 9 34.000 50.000 1.000 1.000 det
8 0 13.913 51.273 1.091 1.091 det
8 1 19.881 70.133 1.210 1.210 det
8 2 16.852 82.274 1.700 1.700 det
8 4 26.859 69.974 1.700 1.700 det
8 5 23.559 82.674 1.300 1.300 det
8 6 21.000 50.000 1.000 1.000 det
8 3 110.286 60.870 1.000 1.000 det
8 7 36.000 70.000 1.000 1.000 det
8 8 31.061 83.061 1.937 1.937 det
8 9 34.000 50.000 1.000 1.000 det
9 0 21.543 51.020 1.027 1.727 det
9 1 26.494 69.927 1.763 1.763 det
9 2 23.338 82.802 1.210 1.210 det
9 4 33.132 70.062 1.210 1.210 det
9 5 28.699 82.890 1.790 1.790 det
9 6 21.000 50.000 1.000 1.000 det
9 7 40.237 70.706 1.000 1.000 det
9 8 33.894 82.363 2.681 1.981 det
9 3 108.495 60.545 1.000 1.000 pred
9 9 34.000 50.000 1.000 1.000 det
10 0 28.300 50.401 1.008 1.218 det
10 1 33.991 69.957 1.229 1.229 det
10 2 29.393 82.960 1.763 1.763 det
10 4 39.765 70.655 1.063 1.063 det
10 5 33.539 82.433 2.637 1.937 det
10 6 23.422 50.558 1.000 1.700 det
10 7 45.898 70.999 1.000 1.000 det
10 8 39.696 82.739 1.504 1.294 det
10 9 34.000 50.000 1.000 1.000 det
10 3 106.703 60.219 1.000 1.000 pred
11 0 36.855 50.031 1.002 1.065 det
11 1 40.900 70.557 1.069 1.069 det
11 2 35.139 82.510 1.929 1.229 det
11 4 46.434 70.942 1.019 1.019 det
11 5 40.126 82.833 1.491 1.281 det
11 6 27.616 50.388 1.000 1.210 det
11 7 50.286 77.379 1.000 1.000 det
11 8 45.269 82.257 1.151 1.088 det
11 9 34.000 50.000 1.000 1.000 det
11 3 104.910 59.893 1.000 1.000 pred
12 0 42.947 49.254 1.001 1.020 det
12 1 47.437 70.860 1.021 1.021 det
12 2 41.251 82.800 1.279 1.069 det
12 4 57.550 72.324 1.006 1.006 det
12 5 45.984 82.369 1.147 1.084 det
12 6 32.126 50.202 1.000 1.063 det
12 7 57.027 80.512 1.000 1.000 det
12 8 50.128 81.412 1.045 1.026 det
12 9 37.230 50.000 1.000 1.000 det
12 3 84.964 59.056 1.000 1.000 det
13 0 48.372 49.525 1.000 1.006 det
13 1 58.164 72.256 1.006 1.006 det
13 2 46.767 82.335 1.084 1.021 det
13 4 66.119 72.344 1.002 1.002 det
13 5 50.869 81.512 1.044 1.025 det
13 6 37.290 50.072 1.000 1.019 det
13 7 63.054 83.025 1.000 1.000 det
13 8 56.994 80.984 1.014 1.008 det
13 9 41.193 49.389 1.000 1.000 det
13 3 70.984 60.204 1.000 1.000 det
14 0 52.249 49.104 1.000 1.002 det
14 1 66.495 72.307 1.002 1.002 det
14 2 51.411 81.494 1.025 1.006 det
14 4 73.234 72.278 1.001 1.001 det
14 5 57.607 81.062 1.013 1.008 det
14 6 42.053 49.413 1.000 1.006 det
14 7 68.617 84.618 1.000 1.000 det
14 8 61.354 76.075 1.004 1.002 det
14 9 46.075 49.673 1.000 1.000 det
14 3 61.647 54.321 1.000 1.000 det
15 0 57.795 49.519 1.000 1.001 det
15 1 73.486 72.270 1.001 1.001 det
15 2 57.945 81.063 1.008 1.002 det
15 4 79.615 71.577 1.000 1.000 det
15 5 66.582 82.640 1.004 1.002 det
15 6 47.117 49.658 1.000 1.002 det
15 7 74.510 86.354 1.000 1.000 det
15 8 66.612 72.925 1.001 1.001 det
15 9 50.143 49.259 1.000 1.000 det
15 3 58.181 51.480 1.000 1.000 det
16 0 64.824 50.952 1.000 1.000 det
16 1 79.803 71.606 1.000 1.000 det
16 2 66.695 82.617 1.002 1.001 det
16 4 86.266 71.200 1.000 1.000 det
16 5 74.235 84.735 1.001 1.001 det
16 6 51.108 49.233 1.000 1.001 det
16 7 79.962 87.605 1.000 1.000 det
16 8 72.357 71.495 1.000 1.000 det
16 9 56.107 49.626 1.000 1.000 det
16 3 57.594 50.344 1.000 1.000 det
17 0 70.274 52.884 1.000 1.000 det
17 1 86.396 71.237 1.000 1.000 det
17 2 74.247 84.677 1.001 1.000 det
17 4 92.481 70.412 1.000 1.000 det
17 5 80.420 86.380 1.000 1.000 det
17 6 56.829 49.591 1.000 1.000 det
17 7 85.741 88.041 1.000 1.000 det
17 8 78.353 70.379 1.000 1.000 det
17 9 63.731 51.055 1.000 1.000 det
17 3 58.170 50.092 1.000 1.000 det
18 0 75.425 54.449 1.000 1.000 det
18 1 92.582 70.461 1.000 1.000 det
18 2 80.425 86.318 1.000 1.000 det
18 4 98.492 69.433 1.000 1.000 det
18 5 86.437 87.162 1.000 1.000 det
18 6 64.084 50.970 1.000 1.000 det
18 7 91.119 87.485 1.000 1.000 det
18 8 85.034 69.995 1.000 1.000 det
18 9 69.566 53.000 1.000 1.000 det
18 3 58.997 50.204 1.000 1.000 det
19 0 80.432 55.209 1.000 1.000 det
19 1 98.573 69.487 1.000 1.000 det
19 2 86.444 87.124 1.000 1.000 det
19 4 104.419 67.793 1.000 1.000 det
19 5 91.809 86.903 1.000 1.000 det
19 6 69.768 52.868 1.000 1.000 det
19 7 96.833 86.429 1.000 1.000 det
19 8 91.475 69.412 1.000 1.000 det
19 9 74.966 54.550 1.000 1.000 det
19 3 62.958 51.069 1.000 1.000 det
20 0 84.819 56.081 1.000 1.000 det
20 1 104.482 67.860 1.000 1.000 det
20 2 91.832 86.906 1.000 1.000 det
20 4 110.897 66.973 1.000 1.000 det
20 5 97.416 86.090 1.000 1.000 det
20 6 75.097 54.421 1.000 1.000 det
20 7 102.168 85.175 1.000 1.000 det
20 8 97.745 68.677 1.000 1.000 det
20 9 80.137 55.260 1.000 1.000 det
20 3 67.625 52.869 1.000 1.000 det
21 0 89.426 55.362 1.000 1.000 det
21 1 110.933 67.021 1.000 1.000 det
21 2 97.440 86.126 1.000 1.000 det
21 4 117.118 67.169 1.000 1.000 det
21 5 102.615 85.004 1.000 1.000 det
21 6 80.232 55.186 1.000 1.000 det
21 7 107.853 83.887 1.000 1.000 det
21 8 103.904 67.291 1.000 1.000 det
21 9 84.618 56.104 1.000 1.000 det
21 3 73.022 54.406 1.000 1.000 det
22 0 93.631 54.288 1.000 1.000 det
22 1 117.141 67.182 1.000 1.000 det
22 2 102.643 85.056 1.000 1.000 det
22 4 123.199 67.921 1.000 1.000 det
22 5 108.172 83.820 1.000 1.000 det
22 6 84.714 56.063 1.000 1.000 det
22 7 113.176 82.629 1.000 1.000 det
22 8 110.538 66.626 1.000 1.000 det
22 9 89.305 55.313 1.000 1.000 det
22 3 78.585 55.090 1.000 1.000 det
23 0 98.175 52.503 1.000 1.000 det
23 1 123.215 67.906 1.000 1.000 det
23 2 108.193 83.874 1.000 1.000 det
23 4 129.207 68.961 1.000 1.000 det
23 5 113.394 82.619 1.000 1.000 det
23 6 89.381 55.360 1.000 1.000 det
23 7 118.850 81.422 1.000 1.000 det
23 8 116.894 66.910 1.000 1.000 det
23 9 93.555 54.201 1.000 1.000 det
23 3 83.449 55.954 1.000 1.000 det
24 0 102.389 50.360 1.000 1.000 det
24 1 129.218 68.931 1.000 1.000 det
24 2 113.413 82.667 1.000 1.000 det
24 4 131.000 74.400 1.000 1.000 det
24 5 118.988 81.442 1.000 1.000 det
24 6 93.625 54.297 1.000 1.000 det
24 7 124.175 80.814 1.000 1.000 det
24 8 123.076 67.732 1.000 1.000 det
24 9 98.138 52.397 1.000 1.000 det
24 3 88.508 55.048 1.000 1.000 det
25 0 106.985 49.222 1.000 1.000 det
25 2 115.671 82.001 1.000 1.000 det
25 1 131.000 69.060 1.000 1.000 pred
25 4 131.000 77.445 1.000 1.000 det
25 5 121.503 80.832 1.000 1.000 det
25 6 98.108 51.888 1.700 1.700 det
25 7 126.550 80.559 1.000 1.000 det
25 8 129.151 68.830 1.000 1.000 det
25 9 102.370 50.258 1.000 1.000 det
25 3 93.012 53.892 1.000 1.000 det
26 0 111.799 48.120 1.000 1.000 det
26 2 119.615 81.160 1.000 1.000 det
26 5 125.016 80.583 1.000 1.000 det
