frame,gt_id,x,y,w,h
0,0,10.00,10.00,1.50,1.50
1,0,14.23,9.18,1.50,1.50
2,0,17.89,7.99,1.50,1.50
3,0,21.45,11.43,1.50,1.50
4,0,25.55,11.39,1.50,1.50
5,0,29.07,13.02,1.50,1.50
6,0,33.40,10.55,1.50,1.50
7,0,37.08,10.96,1.50,1.50
8,0,40.89,12.80,1.50,1.50
9,0,44.82,12.27,1.50,1.50
10,0,48.93,12.01,1.50,1.50
11,0,52.72,13.18,1.50,1.50
12,0,56.68,15.03,1.50,1.50
13,0,60.38,14.04,1.50,1.50
14,0,64.47,12.18,1.50,1.50
15,0,68.58,12.59,1.50,1.50
16,0,72.14,15.53,1.50,1.50
17,0,76.61,14.71,1.50,1.50
18,0,80.41,11.53,1.50,1.50
19,0,84.60,12.49,1.50,1.50
20,0,88.22,12.24,1.50,1.50
21,0,91.75,13.38,1.50,1.50
22,0,95.51,11.84,1.50,1.50
23,0,99.32,10.68,1.50,1.50
24,0,103.37,8.74,1.50,1.50
25,0,107.84,10.51,1.50,1.50
26,0,112.28,10.40,1.50,1.50
27,0,116.38,9.95,1.50,1.50
0,1,10.00,25.00,1.50,1.50
1,1,14.44,24.78,1.50,1.50
2,1,18.58,25.03,1.50,1.50
3,1,23.15,26.01,1.50,1.50
4,1,27.03,25.64,1.50,1.50
5,1,30.79,25.35,1.50,1.50
6,1,34.81,27.63,1.50,1.50
7,1,38.71,26.77,1.50,1.50
8,1,42.51,30.10,1.50,1.50
9,1,46.90,30.08,1.50,1.50
10,1,51.42,30.51,1.50,1.50
11,1,55.94,31.40,1.50,1.50
12,1,59.99,28.31,1.50,1.50
13,1,63.96,30.38,1.50,1.50
14,1,68.22,29.69,1.50,1.50
15,1,72.10,29.05,1.50,1.50
16,1,76.08,30.05,1.50,1.50
17,1,80.53,28.31,1.50,1.50
18,1,84.37,25.62,1.50,1.50
19,1,88.01,26.57,1.50,1.50
20,1,91.72,24.59,1.50,1.50
21,1,95.52,25.52,1.50,1.50
22,1,99.60,23.33,1.50,1.50
23,1,103.89,20.84,1.50,1.50
24,1,108.10,21.73,1.50,1.50
0,2,10.00,40.00,1.50,1.50
1,2,14.58,37.68,1.50,1.50
2,2,18.58,35.50,1.50,1.50
3,2,22.73,35.89,1.50,1.50
4,2,26.85,38.53,1.50,1.50
5,2,30.87,35.51,1.50,1.50
6,2,34.93,38.72,1.50,1.50
7,2,38.90,37.80,1.50,1.50
8,2,42.60,36.77,1.50,1.50
9,2,46.61,36.20,1.50,1.50
10,2,50.84,37.71,1.50,1.50
11,2,55.23,37.10,1.50,1.50
12,2,59.18,36.98,1.50,1.50
13,2,63.10,38.85,1.50,1.50
14,2,67.20,37.21,1.50,1.50
15,2,71.15,38.28,1.50,1.50
16,2,75.55,40.50,1.50,1.50
17,2,79.40,42.00,1.50,1.50
18,2,83.37,42.27,1.50,1.50
19,2,87.48,38.85,1.50,1.50
20,2,91.52,41.60,1.50,1.50
21,2,95.90,41.52,1.50,1.50
22,2,100.05,41.91,1.50,1.50
23,2,104.34,40.31,1.50,1.50
24,2,108.41,41.21,1.50,1.50
25,2,112.92,42.34,1.50,1.50
26,2,117.60,42.24,1.50,1.50
0,3,10.00,55.00,1.50,1.50
1,3,13.69,60.38,1.50,1.50
2,3,17.78,62.01,1.50,1.50
3,3,21.29,60.12,1.50,1.50
4,3,25.02,59.18,1.50,1.50
5,3,28.69,57.71,1.50,1.50
6,3,32.58,56.96,1.50,1.50
7,3,36.22,52.82,1.50,1.50
8,3,39.83,53.48,1.50,1.50
9,3,44.21,49.29,1.50,1.50
10,3,48.37,50.24,1.50,1.50
11,3,52.43,48.09,1.50,1.50
